image_path,device_type,defect_type,text_prompt
data\phone_screen_defects\Datacluster Cracked Screen (243).jpg,phone,charging port issue,The charging port is broken.
data\phone_screen_defects\Datacluster Cracked Screen (203).jpg,phone,normal device,The device is a cell phone.
data\phone_screen_defects\Datacluster Cracked Screen (246).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (237).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (290).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (168).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (30).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (21).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (1).jpg,phone,cracked screen,The device is a cell phone.
data\phone_screen_defects\Datacluster Cracked Screen (296).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (211).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (277).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (225).jpg,phone,back panel damaging,"The back panel of the device is damaged, with a cracked appearance."
data\phone_screen_defects\Datacluster Cracked Screen (190).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (175).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (263).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (236).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (54).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (6).jpg,phone,cracked screen,The screen is cracked and has a blue background.
data\phone_screen_defects\Datacluster Cracked Screen (33).jpg,phone,battery swelling,The phone is damaged due to a battery swelling.
data\phone_screen_defects\Datacluster Cracked Screen (256).jpg,phone,cracked screen,The screen of the cell phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (274).jpg,phone,cracked screen,The screen is cracked and has a black background.
data\phone_screen_defects\Datacluster Cracked Screen (216).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (217).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (166).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (300).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (24).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (3).jpg,phone,back panel damaging,"The back panel of the device is damaged, with a cracked screen and a broken part."
data\phone_screen_defects\Datacluster Cracked Screen (20).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (44).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (177).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (251).jpg,phone,cracked screen,The screen of the cell phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (43).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (273).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (293).jpg,phone,battery swelling,The phone is damaged due to a battery swelling.
data\phone_screen_defects\Datacluster Cracked Screen (218).jpg,phone,back panel damaging,The back panel of the cell phone is damaged.
data\phone_screen_defects\Datacluster Cracked Screen (176).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (282).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (13).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (50).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (240).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (200).jpg,phone,cracked screen,The screen of the device is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (39).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (258).jpg,phone,battery swelling,The phone is damaged due to a battery swelling.
data\phone_screen_defects\Datacluster Cracked Screen (280).jpg,phone,battery swelling,The phone is cracked and has a swollen battery.
