device_id,brand,model,original_price,release_year,purchase_year,age_months,num_defects,defect_ids,defect_names,has_screen_damage,has_water_damage,has_battery_issue,has_physical_damage,has_critical_defect,total_severity_score,avg_severity_score,total_repair_cost,condition_score,condition_grade,base_price_after_depreciation,resale_price
DEV_00000,Apple,iPhone 11,54900,2019,2024,12,1,BTN001,Button Damage,0,0,0,1,0,3,3.0,1000,7.21,B,46665,38300
DEV_00001,HP,Pavilion 15,58990,2022,2023,24,1,CHG001,Charging Port Issue,0,0,0,0,0,5,5.0,1500,5.14,C,44242,32500
DEV_00002,Samsung,Galaxy Z Fold 4,159999,2022,2024,10,1,AUD001,Audio Issues,0,0,0,0,0,4,4.0,1500,6.5,C,139999,115600
DEV_00003,OnePlus,OnePlus Nord 3,33999,2023,2021,47,1,OVR001,Overheating,0,0,0,0,1,8,8.0,2000,1.82,F,18982,10800
DEV_00004,Dell,Inspiron 15,54990,2021,2023,19,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.5,A,43533,41400
DEV_00005,Samsung,Galaxy Note 20,79999,2020,2024,11,1,SCR002,Screen Scratch,1,0,0,0,0,3,3.0,0,6.84,C,68999,57900
DEV_00006,HP,EliteBook 840,95990,2022,2023,13,1,OVR001,Overheating,0,0,0,0,1,8,8.0,2000,2.42,F,80791,44800
DEV_00007,Dell,Inspiron 15,54990,2021,2021,43,1,PHY002,Back Panel Damage,0,0,0,1,0,5,5.0,2500,5.12,C,32535,22500
DEV_00008,Apple,iPhone 11,54900,2019,2023,14,2,"AUD001,BAT002","Audio Issues,Battery Swelling",0,0,1,0,1,14,7.0,4500,2.51,F,45750,16700
DEV_00009,Samsung,Galaxy A54,38999,2023,2021,38,2,"BAT001,HNG001","Battery Drain,Broken Hinge",0,0,1,1,0,13,6.5,6000,3.4,D,24699,12900
DEV_00010,Apple,iPhone SE,42500,2020,2021,43,1,CAM001,Camera Defect,0,0,0,0,0,5,5.0,3000,4.83,D,25145,18400
DEV_00011,Samsung,Galaxy Note 20,79999,2020,2022,35,1,CHG001,Charging Port Issue,0,0,0,0,0,5,5.0,1500,4.6,D,52666,37700
DEV_00012,Samsung,Galaxy A54,38999,2023,2023,21,1,KEY001,Keyboard Malfunction,0,0,0,0,0,6,6.0,2500,3.89,D,30224,19400
DEV_00013,Dell,Latitude 5420,75990,2021,2023,23,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.26,A,57625,53700
DEV_00014,OnePlus,OnePlus 11,56999,2023,2024,4,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.23,A,54149,55100
DEV_00015,Samsung,Galaxy Note 20,79999,2020,2021,46,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.14,A,45332,45600
DEV_00016,Samsung,Galaxy Book2 360,109990,2022,2021,45,4,"BAT002,KEY001,WTR001,SCR002","Battery Swelling,Keyboard Malfunction,Water Damage,Screen Scratch",1,1,1,0,1,29,7.25,13500,3.1,D,63244,7400
DEV_00017,Dell,Inspiron 15,54990,2021,2024,8,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.54,A,49491,47400
DEV_00018,Apple,MacBook Air M2,119900,2022,2022,27,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.9,A,86927,88900
DEV_00019,HP,EliteBook 840,95990,2022,2021,43,1,BTN001,Button Damage,0,0,0,1,0,3,3.0,1000,7.45,B,56794,49100
DEV_00020,Samsung,Galaxy Book Pro,89990,2021,2021,40,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.1,A,55493,55600
DEV_00021,Samsung,Galaxy S23 Ultra,124999,2023,2024,5,1,WTR001,Water Damage,0,1,0,0,1,10,10.0,8000,0.0,F,117186,33400
DEV_00022,Lenovo,IdeaPad Slim 3,42990,2021,2022,31,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.9,A,29734,29600
DEV_00023,Apple,MacBook Pro 14,194900,2021,2023,15,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.98,A,160792,155000
DEV_00024,Apple,iPhone 11,54900,2019,2022,36,1,PHY001,Physical Dent,0,0,0,1,0,4,4.0,2000,5.96,C,35685,26900
DEV_00025,Samsung,Galaxy S23 Ultra,124999,2023,2021,47,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.37,A,69791,71800
DEV_00026,Dell,Inspiron 15,54990,2021,2024,8,1,SCR001,Cracked Screen,1,0,0,0,1,9,9.0,4000,1.01,F,49491,23100
DEV_00027,Apple,iPhone 13,79900,2021,2021,42,2,"SCR002,CAM001","Screen Scratch,Camera Defect",1,0,0,0,0,8,4.0,3000,5.84,C,47940,32800
DEV_00028,OnePlus,OnePlus Nord 3,33999,2023,2021,40,1,SCR001,Cracked Screen,1,0,0,0,1,9,9.0,4000,0.84,F,20966,9800
DEV_00029,Samsung,Galaxy Z Fold 4,159999,2022,2022,31,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.95,A,110665,111400
DEV_00030,Dell,Inspiron 15,54990,2021,2022,32,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.49,A,37576,37400
DEV_00031,Dell,XPS 13,99990,2022,2023,22,2,"WTR001,SCR001","Water Damage,Cracked Screen",1,1,0,0,1,19,9.5,12000,0.76,F,76659,14000
DEV_00032,Apple,iPhone SE,42500,2020,2023,19,1,PHY002,Back Panel Damage,0,0,0,1,0,5,5.0,2500,5.04,C,33645,23600
DEV_00033,Samsung,Galaxy Book2 360,109990,2022,2023,19,1,CHG001,Charging Port Issue,0,0,0,0,0,5,5.0,1500,5.22,C,87075,63200
DEV_00034,Apple,iPhone 13,79900,2021,2023,17,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.58,A,64585,61100
DEV_00035,Apple,iPhone 14 Pro,129900,2022,2023,15,1,SCR001,Cracked Screen,1,0,0,0,1,9,9.0,4000,0.87,F,107167,49000
DEV_00036,OnePlus,OnePlus Nord 3,33999,2023,2023,18,1,CAM001,Camera Defect,0,0,0,0,0,5,5.0,3000,4.65,D,27199,18400
DEV_00037,Lenovo,ThinkPad X1,124990,2022,2021,45,2,"BAT002,WTR001","Battery Swelling,Water Damage",0,1,1,0,1,20,10.0,11000,0.03,F,71869,10100
DEV_00038,Dell,XPS 13,99990,2022,2024,6,2,"CHG001,AUD001","Charging Port Issue,Audio Issues",0,0,0,0,0,9,4.5,3000,5.24,C,92490,59300
DEV_00039,Apple,MacBook Air M2,119900,2022,2023,24,2,"BTN001,SCR002","Button Damage,Screen Scratch",1,0,0,1,0,6,3.0,1000,7.2,B,89925,68600
DEV_00040,OnePlus,OnePlus 10 Pro,66999,2022,2024,11,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.04,A,57786,55700
DEV_00041,Samsung,Galaxy Note 20,79999,2020,2022,25,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.27,A,59332,57800
DEV_00042,HP,Pavilion 15,58990,2022,2023,23,1,HNG001,Broken Hinge,0,0,0,1,0,7,7.0,3500,3.04,D,44734,28800
DEV_00043,Apple,iPhone 13,79900,2021,2024,11,1,BAT002,Battery Swelling,0,0,1,0,1,10,10.0,3000,0.0,F,68913,23900
DEV_00044,Samsung,Galaxy A54,38999,2023,2021,49,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.31,A,21124,21200
DEV_00045,Dell,XPS 13,99990,2022,2021,40,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.67,A,61660,59700
DEV_00046,OnePlus,OnePlus 11,56999,2023,2021,49,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.24,A,30874,30700
DEV_00047,OnePlus,OnePlus 11,56999,2023,2023,16,1,BAT001,Battery Drain,0,0,1,0,0,6,6.0,2500,3.56,D,46549,29600
DEV_00048,HP,Envy 13,84990,2021,2024,2,1,HNG001,Broken Hinge,0,0,0,1,0,7,7.0,3500,3.31,D,82865,53100
DEV_00049,Apple,iPhone 12,65900,2020,2024,12,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.4,A,56015,56500
DEV_00050,Samsung,Galaxy S22,72999,2022,2024,6,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.5,A,67524,66400
DEV_00051,Samsung,Galaxy Note 20,79999,2020,2023,13,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.19,A,67332,68000
DEV_00052,HP,Envy 13,84990,2021,2022,32,3,"AUD001,OVR001,BAT001","Audio Issues,Overheating,Battery Drain",0,0,1,0,1,18,6.0,6000,4.43,D,58076,25900
DEV_00053,HP,EliteBook 840,95990,2022,2023,16,1,DSP001,Display Flickering,1,0,0,0,0,6,6.0,3500,3.96,D,78391,53200
